City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
79,Santiago De Cao,-7.9589,-79.2392,66.29,87,95,11.52,PE,overcast clouds
80,Tura,25.5198,90.2201,81.37,59,0,2.35,IN,clear sky
81,Half Moon Bay,37.4636,-122.4286,61.25,72,40,33.38,US,haze
82,Kavieng,-2.5744,150.7967,86.27,63,99,11.9,PG,overcast clouds
83,Xining,36.6167,101.7667,45.28,57,63,2.1,CN,broken clouds
84,Sao Sebastiao,-23.76,-45.4097,74.55,79,4,4.38,BR,clear sky
85,Cockburn Town,21.4612,-71.1419,75.31,61,4,15.88,TC,clear sky
86,Boa Vista,2.8197,-60.6733,75.18,83,20,2.3,BR,few clouds
87,Kungurtug,50.5994,97.5228,38.59,48,22,2.93,RU,few clouds
88,Colares,38.7992,-9.4469,57.76,75,11,15.01,PT,few clouds
89,Harper,4.375,-7.7169,79.97,83,61,4.59,LR,broken clouds
90,Clara,53.3425,-7.6139,38.26,85,100,4.7,IE,overcast clouds
91,Nelson Bay,-32.7167,152.15,77.05,79,90,9.26,AU,overcast clouds
92,Cotonou,6.3654,2.4183,79.59,83,100,13.89,BJ,light rain
93,Muzhi,65.3667,64.6667,26.08,75,100,6.96,RU,overcast clouds
94,Coihaique,-45.5752,-72.0662,26.74,96,14,4.05,CL,few clouds
95,Boo,59.3333,18.2833,37.76,91,34,0.0,SE,scattered clouds
96,Tatvan,38.5067,42.2817,48.43,87,89,2.3,TR,overcast clouds
97,Cacoal,-11.4386,-61.4472,75.33,85,39,3.6,BR,scattered clouds
98,Kalat,29.0225,66.5916,64.74,28,12,4.12,PK,few clouds
99,Jamestown,42.097,-79.2353,30.02,89,100,12.66,US,overcast clouds
100,Tabou,4.423,-7.3528,79.88,83,95,4.56,CI,overcast clouds
101,Pacific Grove,36.6177,-121.9166,62.46,75,44,8.01,US,scattered clouds
102,Ferreira Do Alentejo,38.05,-8.0333,47.16,97,59,6.89,PT,broken clouds
103,Oga,46.4631,10.347,33.96,82,1,2.01,IT,clear sky
104,Geraldton,-28.7667,114.6,68.41,73,75,5.75,AU,broken clouds
105,Taltal,-25.4,-70.4833,65.01,69,0,3.67,CL,clear sky
106,Smithers,54.7804,-127.1743,47.62,46,71,3.42,CA,broken clouds
107,High Rock,26.6208,-78.2833,75.34,69,100,7.43,BS,overcast clouds
